,B,Basophil,Ductal,Endothelial,Epithelial,Macrophage1,Macrophage2,Plasma,Plasmablast,Stromal,T and NK,mDC,pDC
B,0.3079207893044003,0.000154303927555317,-0.0021837175323289877,-0.004606887168882454,-0.5469101947728943,-0.0035460512595180127,0.021572047305389322,-0.004784909950956085,0.005769776697100704,-0.02124407677038083,0.22899175639706548,0.013983263514289773,0.00488391205618505
Basophil,0.002607441465581258,0.0520508054929074,0.010134251436671515,0.03610082396149818,-0.4952445534054588,-0.006525508637905464,0.062055931818767465,0.08430696470810535,-0.00164232723897546,0.20061981143371693,0.055329153495606756,-2.903037582882486e-05,0.00023625571230773525
Ductal,-0.009032695072026501,0.0039953545952435675,0.6291430002287834,-0.009725380159614647,-0.43727750154178846,-0.036660646598220215,-0.03370176216484698,-0.017128300330057123,-0.005321503100155289,-0.022184779625967835,-0.058477386650863314,-0.0023929968045035823,-0.0012354146321641962
Endothelial,-0.0007995739996186895,0.000566396820939714,-0.0005979755683929717,0.3535467205274123,-0.4062705841843437,-0.019018403764248237,0.021179915797992624,0.00029264209939601146,0.0018247324552550966,0.03610537411586871,0.013875747280892706,-0.0004794980666542872,-0.0002254814473318617
Epithelial,-0.00871671204899768,-0.0007558565679950547,-0.0017325011454650259,-0.0329877673012,0.23533698348361742,-0.015985380436659202,-0.03429406469585093,-0.014241687430455664,-0.004401706922969217,-0.05816716862900624,-0.060422204253497744,-0.002593156855966754,-0.0010387476806401025
Macrophage1,-0.0005724085911862058,-0.0001699614053372201,-0.0016999549139418697,-0.018062382407186592,-0.1808338222090553,0.2337472070498463,0.01340564472703544,-0.01451594842450259,-0.002742071119306976,-0.044947283100918625,0.01454792376118598,0.0014873946749662534,0.0003556369472888549
Macrophage2,0.004589291247750123,0.0010455360921319667,-0.001681782656827668,0.02186172881007377,-0.4303903636519264,0.014889985744475975,0.14121175689725485,0.03086743323279979,0.010673580276609963,0.11029135646240344,0.09325061197834907,0.0019190114655589239,0.001471847891308113
Plasma,-0.0023854165754965944,0.0036785163270529452,-0.002113508586784551,0.0004656208384055255,-0.4531807509247612,-0.03951711258608137,0.07666377110509483,0.33676336152626635,0.02088764640951306,0.02523889603035083,0.034013958829221105,-0.000390671779116474,-0.00012430349414821072
Plasmablast,0.010763326618100007,-0.0003355026541989204,-0.0023749464913399017,0.01639765181422416,-0.5134946686212372,-0.027467447842836723,0.09619423134355155,0.07580360962225559,0.21249322551751287,0.06312760176078906,0.06751876528817115,-0.00035954441753574453,0.001733706462628885
Stromal,-0.001864173491274516,0.0018561112979646865,-0.0006288510072172677,0.021168429933788216,-0.3674810883585762,-0.024003259416103706,0.05980555845527259,0.0060873851753628465,0.003914787950755661,0.28877493204490773,0.013161974209126806,-0.0008105385384465083,1.8725417986257837e-05
T and NK,0.025892252060795623,0.0004774557478945795,-0.0016213129297957814,0.0077077304649371264,-0.4191812482659172,0.008713860486268654,0.050905340743347086,0.007548639608160278,0.004131215209902828,0.010530906039639618,0.28904194589215215,0.011461506477842248,0.004391715991742654
mDC,0.04596885848345836,-8.91672511365172e-05,-0.0019548666628670937,-0.009034111566541755,-0.5428331998173546,0.024831638161658898,0.029499748182578958,-0.0028526447139823226,-0.0007006250742658919,-0.02965348748548398,0.3334957158144086,0.1469961189397668,0.0063260222221386865
pDC,0.03870583880248149,8.33313266035262e-05,-0.0023749464913399017,-0.009991894878147209,-0.5230740291063141,0.013952315275191918,0.055754946005626596,-0.0022306069158160476,0.007336725066246098,-0.003540372234419678,0.30806748028355535,0.015255476228246606,0.10205572437445048
