,B,Basophil,Ductal,Endothelial,Epithelial,Macrophage1,Macrophage2,Plasma,Plasmablast,Stromal,T and NK,mDC,pDC
B,0.4197647345722021,-0.00033466719740164394,-0.0004486624055600409,-0.027363494552633816,-0.43274428812620985,-0.035740399044200455,-0.03497231503040035,-0.011895151755156364,-0.003316025783408706,-0.08248071229739573,0.18409175242580095,0.007128839048661565,0.01831031120197041
Basophil,-0.016905760624974814,0.033753813088898535,0.006346925078233456,0.031709874466099686,-0.331791804412583,-0.048862735983177696,0.08517290900438587,0.05464567063158528,0.020225732519190485,0.21378317431823823,-0.038835370882380815,-0.005385899550176884,-0.0038566007763041754
Ductal,-0.010894391918152418,0.0029529834473775614,0.5531268258674943,0.003391275599636978,-0.3484679248726164,-0.034675915967866455,-0.03377160367578705,-0.016442734694423523,-0.004769129513863747,-0.01877599253042128,-0.08109924380384764,-0.004190928169421578,-0.006383323828446363
Endothelial,-0.024528405861526575,0.0005263691609995354,0.0001261099570372458,0.3458381467014932,-0.27479960141537535,-0.026342072766467606,0.0073089847990826795,0.003020461702404175,0.002777790582637961,0.01118083254711244,-0.038760626657832475,-0.0028572202258628854,-0.003490843392898013
Epithelial,-0.033966618123993125,-0.0005035145540917378,-0.0011014318987319861,-0.02403279724713331,0.2921374577486719,-0.010595494192287003,-0.040184733765427666,-0.016486976707669344,-0.006074560175750678,-0.049723763453797365,-0.09803985987507186,-0.005995723634853686,-0.005432040013362338
Macrophage1,-0.019589422503083792,-0.0005199075921867129,-0.0007709778400196378,-0.016243844807109886,-0.07417883096096861,0.21028087543304297,-0.01608530555874546,-0.01683891512671336,-0.004973909885723417,-0.07989392286820796,0.017308911339413313,0.0012948332755940905,0.00021032844484908386
Macrophage2,-0.020706359529465285,0.0009655117364870298,-0.0008095808114914839,0.005242454305329269,-0.3054180305993353,-0.01686194283907083,0.15331748376577656,0.032081006148514904,0.014304016648690875,0.11320844249145601,0.02697305943168321,-0.0013820262224298963,-0.0009141089878870745
Plasma,-0.02124193333980426,0.0018322901642220009,-0.001188865015009666,0.00591606874767775,-0.37730840710757124,-0.05490643462185529,0.0943414295741872,0.2741181236297466,0.025874967618744547,0.02367712513820741,0.03255238200820604,-0.0023133227200132856,-0.0013535107038809557
Plasmablast,-0.014613760867684927,0.0016761704655634153,-0.0008565372225886826,0.01350838173929686,-0.34485270200131285,-0.04021213507299093,0.10406619559019367,0.06400680361097828,0.15290504221514958,0.04782555953876588,0.020378371731411604,-0.004174894519976998,0.000343416303406785
Stromal,-0.028776533202797022,0.0014054014655100096,-0.0002577338271832709,0.004502883598246521,-0.21944628773091185,-0.050635063331767594,0.0653892035314397,0.004758754798827324,0.0038501861755658937,0.2917137439669809,-0.0637794006308206,-0.004431333958066727,-0.004293874187384417
T and NK,0.040770768886834535,-0.00016553482689988727,-0.0006921165294072275,-0.009034579202494675,-0.26493440685627806,0.0075365702992233885,0.009403246147330208,0.004058392772135887,0.0010659340088178468,-0.03885114236457732,0.2329386528889052,0.010031523781933165,0.00787261775509579
mDC,0.036830752855569276,-0.0005282449373938229,-0.0008583268171234672,-0.016227036297283226,-0.388193131664971,0.012036743331507171,-0.01231224586278637,-0.006572980380000915,-0.004760860999215667,-0.06464888571484473,0.2342937942901961,0.20143836610309063,0.00950198895112736
pDC,0.10137423104646817,-0.0004172033322705042,-0.0014206805170572047,-0.021661705851516777,-0.3834067073261534,0.0016644548064026488,-0.009477165835206108,-0.004326950704994049,0.00035654839770096064,-0.06841180144532111,0.19702518548167863,0.010206999856151915,0.1784947094954656
