,B,Basophil,Ductal,Endothelial,Epithelial,Macrophage1,Macrophage2,Plasma,Plasmablast,Stromal,T and NK,mDC,pDC
B,0.11184394526780178,-0.000488971124956961,0.0017350551267689468,-0.022756607383751362,0.11416590664668441,-0.03219434778468244,-0.056544362335789675,-0.007110241804200279,-0.00908580248050941,-0.0612366355270149,-0.044900003971264535,-0.006854424465628208,0.013426399145785358
Basophil,-0.01951320209055607,-0.018296992404008866,-0.0037873263584380593,-0.004390949495398491,0.16345274899287582,-0.04233722734527223,0.023116977185618406,-0.029661294076520073,0.021868059758165945,0.013163362884521301,-0.09416452437798757,-0.005356869174348059,-0.00409285648861191
Ductal,-0.001861696846125917,-0.0010423711478660062,-0.07601617436128916,0.013116655759251625,0.08880957666917205,0.0019847306303537593,-6.984151094006907e-05,0.0006855656356336004,0.0005523735862915415,0.0034087870955465532,-0.02262185715298433,-0.001797931364917996,-0.005147909196282167
Endothelial,-0.023728831861907884,-4.0027659940178664e-05,0.0007240855254302175,-0.007708573825919107,0.13147098276896835,-0.0073236690022193685,-0.013870930998909944,0.0027278196030081636,0.0009530581273828644,-0.024924541568756273,-0.05263637393872518,-0.002377722159208598,-0.0032653619455661515
Epithelial,-0.025249906074995443,0.0002523420139033169,0.0006310692467330398,0.008954970054066688,0.05680047426505447,0.0053898862443721995,-0.005890669069576734,-0.00224528927721368,-0.0016728532527814609,0.008443405175208876,-0.03761765562157411,-0.0034025667788869316,-0.004393292332722235
Macrophage1,-0.019017013911897584,-0.00034994618684949276,0.0009289770739222319,0.0018185376000767056,0.1066549912480867,-0.023466331616803338,-0.0294909502857809,-0.0023229667022107714,-0.0022318387664164406,-0.03494663976728933,0.0027609875782273335,-0.0001925613993721629,-0.00014530850243977102
Macrophage2,-0.025295650777215406,-8.002435564493683e-05,0.000872201845336184,-0.0166192745047445,0.12497233305259109,-0.03175192858354681,0.01210572686852171,0.0012135729157151144,0.003630436372080912,0.002917086029052565,-0.06627755254666585,-0.00330103768798882,-0.0023859568791951874
Plasma,-0.018856516764307663,-0.0018462261628309443,0.0009246435717748852,0.005450447909272224,0.07587234381718994,-0.015389322035773922,0.017677658469092375,-0.06264523789651977,0.004987321209231486,-0.0015617708921434187,-0.0014615768210150676,-0.0019226509408968116,-0.001229207209732745
Plasmablast,-0.025377087485784933,0.0020116731197623357,0.001518409268751219,-0.0028892700749273,0.1686419666199243,-0.012744687230154206,0.007871964246642119,-0.011796806011277305,-0.05958818330236329,-0.01530204222202318,-0.047140393556759544,-0.0038153501024412537,-0.0013902901592221
Stromal,-0.026912359711522504,-0.0004507098324546769,0.00037111718003399684,-0.016665546335541695,0.14803480062766433,-0.026631803915663887,0.0055836450761671125,-0.0013286303765355223,-6.460177518976748e-05,0.002938811922073181,-0.07694137483994741,-0.0036207954196202183,-0.004312599605370674
T and NK,0.014878516826038912,-0.0006429905747944668,0.0009291964003885539,-0.0167423096674318,0.15424684140963912,-0.0011772901870452657,-0.04150209459601688,-0.003490246836024391,-0.0030652812010849816,-0.049382048404216936,-0.05610329300324696,-0.0014299826959090836,0.0034809017633531357
mDC,-0.009138105627889082,-0.0004390776862573057,0.0010965398457436265,-0.007192924730741471,0.15464006815238357,-0.012794894830151726,-0.04181199404536533,-0.0037203356660185927,-0.004060235924949775,-0.03499539822936075,-0.09920192152421253,0.054442247163323826,0.003175966728988674
pDC,0.06266839224398668,-0.0005005346588740304,0.000954265974282697,-0.011669810973369568,0.13966732178016067,-0.012287860468789269,-0.0652321118408327,-0.0020963437891780012,-0.006980176668545137,-0.06487142921090143,-0.11104229480187672,-0.0050484763720946915,0.0764389851210151
