,B,Basophil,Ductal,Endothelial,Epithelial,Macrophage1,Macrophage2,Plasma,Plasmablast,Stromal,T and NK,mDC,pDC
B,0.344,0.16300000000000003,0.123,0.04300000000000004,0.026000000000000023,0.20599999999999996,0.04500000000000004,0.22499999999999998,0.07399999999999995,0.04500000000000004,0.34199999999999997,0.34199999999999997,0.06000000000000005
Basophil,0.268,0.029000000000000026,0.38,0.483,0.06699999999999995,0.05900000000000005,0.19599999999999995,0.41000000000000003,0.015000000000000013,0.381,0.04700000000000004,0.051000000000000045,0.049000000000000044
Ductal,0.373,0.20399999999999996,0.31699999999999995,0.263,0.31399999999999995,0.527,0.41700000000000004,0.552,0.469,0.5,0.262,0.254,0.127
Endothelial,0.346,0.49,0.04300000000000004,0.42900000000000005,0.04700000000000004,0.258,0.16500000000000004,0.33199999999999996,0.29700000000000004,0.22599999999999998,0.05400000000000005,0.18999999999999995,0.26
Epithelial,0.346,0.26,0.31999999999999995,0.08599999999999997,0.10899999999999999,0.43899999999999995,0.33099999999999996,0.397,0.32199999999999995,0.4,0.135,0.17000000000000004,0.138
Macrophage1,0.346,0.16100000000000003,0.276,0.45299999999999996,0.121,0.484,0.0,0.405,0.33499999999999996,0.16500000000000004,0.44199999999999995,0.43300000000000005,0.379
Macrophage2,0.33899999999999997,0.46799999999999997,0.32799999999999996,0.07399999999999995,0.051000000000000045,0.0020000000000000018,0.261,0.41800000000000004,0.33799999999999997,0.44999999999999996,0.05800000000000005,0.09399999999999997,0.20899999999999996
Plasma,0.34199999999999997,0.362,0.273,0.34199999999999997,0.18999999999999995,0.18700000000000006,0.20099999999999996,0.17800000000000005,0.354,0.495,0.473,0.29700000000000004,0.30100000000000005
Plasmablast,0.15400000000000003,0.14100000000000001,0.16600000000000004,0.41700000000000004,0.031000000000000028,0.17600000000000005,0.31599999999999995,0.398,0.31100000000000005,0.31699999999999995,0.268,0.16700000000000004,0.365
Stromal,0.34199999999999997,0.346,0.359,0.129,0.038000000000000034,0.09799999999999998,0.371,0.45599999999999996,0.542,0.45199999999999996,0.03300000000000003,0.11199999999999999,0.08199999999999996
T and NK,0.29500000000000004,0.008000000000000007,0.29200000000000004,0.010000000000000009,0.010000000000000009,0.489,0.01100000000000001,0.353,0.11399999999999999,0.02300000000000002,0.06699999999999995,0.5,0.18600000000000005
mDC,0.352,0.15800000000000003,0.30700000000000005,0.18200000000000005,0.009000000000000008,0.33199999999999996,0.041000000000000036,0.29900000000000004,0.15100000000000002,0.14700000000000002,0.007000000000000006,0.32799999999999996,0.381
pDC,0.28200000000000003,0.15300000000000002,0.348,0.135,0.04800000000000004,0.35,0.0030000000000000027,0.376,0.08899999999999997,0.019000000000000017,0.017000000000000015,0.19399999999999995,0.11199999999999999
